"label","n","parent","id"
"Chile",3,"total -  Western","total -  Western  -  Chile"
"Colombia",146,"total -  Action","total -  Action  -  Colombia"
"Colombia",110,"total -  Adventure","total -  Adventure  -  Colombia"
"Colombia",59,"total -  Animation","total -  Animation  -  Colombia"
"Colombia",3,"total -  Biography","total -  Biography  -  Colombia"
"Colombia",192,"total -  Comedy","total -  Comedy  -  Colombia"
"Colombia",111,"total -  Crime","total -  Crime  -  Colombia"
"Colombia",32,"total -  Documentary","total -  Documentary  -  Colombia"
"Colombia",287,"total -  Drama","total -  Drama  -  Colombia"
"Colombia",15,"total -  Family","total -  Family  -  Colombia"
"Colombia",36,"total -  Fantasy","total -  Fantasy  -  Colombia"
"Colombia",2,"total -  Film Noir","total -  Film Noir  -  Colombia"
"Colombia",28,"total -  Horror","total -  Horror  -  Colombia"
"Colombia",19,"total -  Music","total -  Music  -  Colombia"
"Colombia",5,"total -  Musical","total -  Musical  -  Colombia"
"Colombia",39,"total -  Mystery","total -  Mystery  -  Colombia"
"Colombia",3,"total -  Reality TV","total -  Reality TV  -  Colombia"
"Colombia",109,"total -  Romance","total -  Romance  -  Colombia"
"Colombia",16,"total -  Sci Fi","total -  Sci Fi  -  Colombia"
"Colombia",10,"total -  Sport","total -  Sport  -  Colombia"
"Colombia",7,"total -  Talk Show","total -  Talk Show  -  Colombia"
"Colombia",68,"total -  Thriller","total -  Thriller  -  Colombia"
"Colombia",2,"total -  War","total -  War  -  Colombia"
"Colombia",3,"total -  Western","total -  Western  -  Colombia"
"Costa Rica",125,"total -  Action","total -  Action  -  Costa Rica"
"Costa Rica",102,"total -  Adventure","total -  Adventure  -  Costa Rica"
"Costa Rica",60,"total -  Animation","total -  Animation  -  Costa Rica"
"Costa Rica",4,"total -  Biography","total -  Biography  -  Costa Rica"
"Costa Rica",202,"total -  Comedy","total -  Comedy  -  Costa Rica"
"Costa Rica",96,"total -  Crime","total -  Crime  -  Costa Rica"
"Costa Rica",18,"total -  Documentary","total -  Documentary  -  Costa Rica"
"Costa Rica",322,"total -  Drama","total -  Drama  -  Costa Rica"
"Costa Rica",20,"total -  Family","total -  Family  -  Costa Rica"
"Costa Rica",33,"total -  Fantasy","total -  Fantasy  -  Costa Rica"
"Costa Rica",2,"total -  Film Noir","total -  Film Noir  -  Costa Rica"
"Costa Rica",1,"total -  Game Show","total -  Game Show  -  Costa Rica"
"Costa Rica",27,"total -  Horror","total -  Horror  -  Costa Rica"
"Costa Rica",34,"total -  Music","total -  Music  -  Costa Rica"
"Costa Rica",1,"total -  Musical","total -  Musical  -  Costa Rica"
"Costa Rica",37,"total -  Mystery","total -  Mystery  -  Costa Rica"
"Costa Rica",4,"total -  Reality TV","total -  Reality TV  -  Costa Rica"
"Costa Rica",129,"total -  Romance","total -  Romance  -  Costa Rica"
"Costa Rica",16,"total -  Sci Fi","total -  Sci Fi  -  Costa Rica"
"Costa Rica",13,"total -  Sport","total -  Sport  -  Costa Rica"
"Costa Rica",7,"total -  Talk Show","total -  Talk Show  -  Costa Rica"
"Costa Rica",63,"total -  Thriller","total -  Thriller  -  Costa Rica"
"Costa Rica",2,"total -  War","total -  War  -  Costa Rica"
"Costa Rica",3,"total -  Western","total -  Western  -  Costa Rica"
"Croatia",172,"total -  Action","total -  Action  -  Croatia"
"Croatia",116,"total -  Adventure","total -  Adventure  -  Croatia"
"Croatia",48,"total -  Animation","total -  Animation  -  Croatia"
"Croatia",8,"total -  Biography","total -  Biography  -  Croatia"
"Croatia",198,"total -  Comedy","total -  Comedy  -  Croatia"
"Croatia",127,"total -  Crime","total -  Crime  -  Croatia"
"Croatia",27,"total -  Documentary","total -  Documentary  -  Croatia"
"Croatia",289,"total -  Drama","total -  Drama  -  Croatia"
"Croatia",25,"total -  Family","total -  Family  -  Croatia"
"Croatia",32,"total -  Fantasy","total -  Fantasy  -  Croatia"
"Croatia",3,"total -  Film Noir","total -  Film Noir  -  Croatia"
"Croatia",11,"total -  Game Show","total -  Game Show  -  Croatia"
"Croatia",6,"total -  History","total -  History  -  Croatia"
"Croatia",24,"total -  Horror","total -  Horror  -  Croatia"
"Croatia",3,"total -  Music","total -  Music  -  Croatia"
"Croatia",44,"total -  Mystery","total -  Mystery  -  Croatia"
"Croatia",19,"total -  Reality TV","total -  Reality TV  -  Croatia"
"Croatia",94,"total -  Romance","total -  Romance  -  Croatia"
"Croatia",17,"total -  Sci Fi","total -  Sci Fi  -  Croatia"
"Croatia",17,"total -  Sport","total -  Sport  -  Croatia"
"Croatia",13,"total -  Talk Show","total -  Talk Show  -  Croatia"
"Croatia",60,"total -  Thriller","total -  Thriller  -  Croatia"
"Croatia",4,"total -  War","total -  War  -  Croatia"
"Croatia",10,"total -  Western","total -  Western  -  Croatia"
"Cyprus",209,"total -  Action","total -  Action  -  Cyprus"
"Cyprus",1,"total -  Adult","total -  Adult  -  Cyprus"
"Cyprus",136,"total -  Adventure","total -  Adventure  -  Cyprus"
"Cyprus",43,"total -  Animation","total -  Animation  -  Cyprus"
"Cyprus",5,"total -  Biography","total -  Biography  -  Cyprus"
"Cyprus",178,"total -  Comedy","total -  Comedy  -  Cyprus"
"Cyprus",130,"total -  Crime","total -  Crime  -  Cyprus"
